"Economic.Sector","Year","Jobs","Pathway"
"Recycling",2033,10984.3648892599,"Low Emissions"
"Wood and Paper",2033,57780.0590625584,"Low Emissions"
"Education, Health and Other Services",2033,567367.996077627,"Low Emissions"
"Transport Equipment",2033,44670.226801356,"Low Emissions"
"Public Administration",2033,531577.879207028,"Low Emissions"
"Others",2033,21877.1511542719,"Low Emissions"
"Transport",2033,527219.053283761,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2033,284891.630860578,"Low Emissions"
"Post and Telecommunications",2033,224672.209108218,"Low Emissions"
"Private Households",2033,151777.37954164,"Low Emissions"
"Construction",2033,1252407.25872718,"Low Emissions"
"Re-export & Re-import",2033,10841.2406284459,"Low Emissions"
"Financial Intermediation and Business Activities",2033,448533.791524936,"Low Emissions"
"Retail Trade",2033,924474.394733857,"Low Emissions"
"Electricity, Gas and Water",2033,113598.380781307,"Low Emissions"
"Textiles and Wearing Apparel",2033,390345.342796867,"Low Emissions"
"Maintenance and Repair",2033,423160.253845557,"Low Emissions"
"Agriculture",2033,3203336.89127711,"Low Emissions"
"Wholesale Trade",2033,502398.302039863,"Low Emissions"
"Mining and Quarrying",2033,120143.367487724,"Low Emissions"
"Other Manufacturing",2033,110225.512003538,"Low Emissions"
"Hotels and Restaurants",2033,358450.251821013,"Low Emissions"
"Fishing",2033,184326.602737506,"Low Emissions"
"Food & Beverages",2033,238574.523724421,"Low Emissions"
"Metal Products",2033,154456.020135078,"Low Emissions"
"Electricity, Gas and Water",2034,114335.508439957,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2034,286391.753351328,"Low Emissions"
"Public Administration",2034,534233.91843817,"Low Emissions"
"Retail Trade",2034,929146.186576332,"Low Emissions"
"Re-export & Re-import",2034,10895.678694553,"Low Emissions"
"Construction",2034,1259108.29596014,"Low Emissions"
"Transport Equipment",2034,44907.8179262804,"Low Emissions"
"Others",2034,21988.7087122186,"Low Emissions"
"Agriculture",2034,3219428.63078115,"Low Emissions"
"Wood and Paper",2034,58109.618893077,"Low Emissions"
"Other Manufacturing",2034,110841.549889722,"Low Emissions"
"Post and Telecommunications",2034,225680.14836129,"Low Emissions"
"Private Households",2034,152539.514238621,"Low Emissions"
"Electrical and Machinery",2034,189652.045409238,"Low Emissions"
"Financial Intermediation and Business Activities",2034,450885.529749856,"Low Emissions"
"Recycling",2034,11055.645182269,"Low Emissions"
"Fishing",2034,185252.716201701,"Low Emissions"
"Transport",2034,529828.323827345,"Low Emissions"
"Maintenance and Repair",2034,425288.171637638,"Low Emissions"
"Hotels and Restaurants",2034,360256.536231713,"Low Emissions"
"Metal Products",2034,155334.451366799,"Low Emissions"
"Wholesale Trade",2034,505043.103511621,"Low Emissions"
"Mining and Quarrying",2034,120768.235029953,"Low Emissions"
"Textiles and Wearing Apparel",2034,392307.460166708,"Low Emissions"
"Education, Health and Other Services",2034,570261.500819652,"Low Emissions"
"Food & Beverages",2034,239773.908970023,"Low Emissions"
"Construction",2035,1269634.96490374,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2035,288945.743841811,"Low Emissions"
"Re-export & Re-import",2035,10968.4270213208,"Low Emissions"
"Recycling",2035,11147.0113531026,"Low Emissions"
"Public Administration",2035,537817.58876658,"Low Emissions"
"Electricity, Gas and Water",2035,115493.282000523,"Low Emissions"
"Transport",2035,533709.499092592,"Low Emissions"
"Transport Equipment",2035,45274.6182721957,"Low Emissions"
"Others",2035,22145.4278645662,"Low Emissions"
"Agriculture",2035,3241125.03667919,"Low Emissions"
"Wood and Paper",2035,58684.1311571507,"Low Emissions"
"Other Manufacturing",2035,111676.358419604,"Low Emissions"
"Post and Telecommunications",2035,227539.961838159,"Low Emissions"
"Private Households",2035,153557.992563998,"Low Emissions"
"Electrical and Machinery",2035,194288.810790597,"Low Emissions"
"Textiles and Wearing Apparel",2035,394930.766553021,"Low Emissions"
"Financial Intermediation and Business Activities",2035,454655.117524749,"Low Emissions"
"Retail Trade",2035,935509.024833539,"Low Emissions"
"Food & Beverages",2035,241378.630261647,"Low Emissions"
"Mining and Quarrying",2035,121626.841007345,"Low Emissions"
"Maintenance and Repair",2035,428145.584634603,"Low Emissions"
"Metal Products",2035,157040.806960531,"Low Emissions"
"Wholesale Trade",2035,509143.7614144,"Low Emissions"
"Hotels and Restaurants",2035,362698.281966694,"Low Emissions"
"Education, Health and Other Services",2035,574346.028604464,"Low Emissions"
"Fishing",2035,186490.978332039,"Low Emissions"
"Electricity, Gas and Water",2036,115629.979309371,"Low Emissions"
"Agriculture",2036,3268863.10634987,"Low Emissions"
"Public Administration",2036,542418.528661636,"Low Emissions"
"Private Households",2036,154915.466014757,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2036,288716.327301198,"Low Emissions"
"Recycling",2036,11252.0652430453,"Low Emissions"
"Retail Trade",2036,943188.059623983,"Low Emissions"
"Re-export & Re-import",2036,11065.389281422,"Low Emissions"
"Maintenance and Repair",2036,431861.328595672,"Low Emissions"
"Transport Equipment",2036,45425.0356693249,"Low Emissions"
"Others",2036,22302.7446354962,"Low Emissions"
"Wholesale Trade",2036,510791.41132152,"Low Emissions"
"Mining and Quarrying",2036,122575.604989675,"Low Emissions"
"Construction",2036,1273197.31308826,"Low Emissions"
"Post and Telecommunications",2036,227159.223972396,"Low Emissions"
"Education, Health and Other Services",2036,578452.895899906,"Low Emissions"
"Electrical and Machinery",2036,182518.815313189,"Low Emissions"
"Financial Intermediation and Business Activities",2036,455571.479952998,"Low Emissions"
"Hotels and Restaurants",2036,365765.111192858,"Low Emissions"
"Fishing",2036,188135.838697444,"Low Emissions"
"Transport",2036,536569.209452456,"Low Emissions"
"Textiles and Wearing Apparel",2036,398414.582360206,"Low Emissions"
"Wood and Paper",2036,58521.7832824151,"Low Emissions"
"Metal Products",2036,155713.270490392,"Low Emissions"
"Food & Beverages",2036,243502.209255142,"Low Emissions"
"Other Manufacturing",2036,112512.420045374,"Low Emissions"
"Others",2037,22359.388845725,"Low Emissions"
"Re-export & Re-import",2037,11045.9011059514,"Low Emissions"
"Post and Telecommunications",2037,231979.12011029,"Low Emissions"
"Agriculture",2037,3265313.90169197,"Low Emissions"
"Electricity, Gas and Water",2037,118130.65664099,"Low Emissions"
"Electrical and Machinery",2037,215526.721775539,"Low Emissions"
"Recycling",2037,11269.0816571735,"Low Emissions"
"Public Administration",2037,541781.60381708,"Low Emissions"
"Retail Trade",2037,943025.807317092,"Low Emissions"
"Transport",2037,539884.899059697,"Low Emissions"
"Transport Equipment",2037,45975.6320109615,"Low Emissions"
"Metal Products",2037,162106.076787907,"Low Emissions"
"Wholesale Trade",2037,516990.312737059,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2037,294918.853996653,"Low Emissions"
"Construction",2037,1290592.47635718,"Low Emissions"
"Other Manufacturing",2037,112829.245440461,"Low Emissions"
"Education, Health and Other Services",2037,579980.273340628,"Low Emissions"
"Private Households",2037,154642.63313262,"Low Emissions"
"Food & Beverages",2037,243102.259825724,"Low Emissions"
"Financial Intermediation and Business Activities",2037,462403.378897328,"Low Emissions"
"Fishing",2037,187814.898386453,"Low Emissions"
"Mining and Quarrying",2037,122732.887175102,"Low Emissions"
"Maintenance and Repair",2037,431273.378362214,"Low Emissions"
"Hotels and Restaurants",2037,365470.4983342,"Low Emissions"
"Wood and Paper",2037,60149.2188148664,"Low Emissions"
"Textiles and Wearing Apparel",2037,397737.154646984,"Low Emissions"
"Recycling",2038,11396.9804650525,"Low Emissions"
"Transport Equipment",2038,46066.7074980184,"Low Emissions"
"Public Administration",2038,547705.178844968,"Low Emissions"
"Construction",2038,1292017.17785602,"Low Emissions"
"Post and Telecommunications",2038,230648.410317039,"Low Emissions"
"Private Households",2038,156405.11147099,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2038,293509.184161695,"Low Emissions"
"Re-export & Re-import",2038,11171.7922857749,"Low Emissions"
"Financial Intermediation and Business Activities",2038,462342.332830148,"Low Emissions"
"Retail Trade",2038,952750.445465956,"Low Emissions"
"Electricity, Gas and Water",2038,117866.554068607,"Low Emissions"
"Transport",2038,542913.073757537,"Low Emissions"
"Maintenance and Repair",2038,436069.290069628,"Low Emissions"
"Metal Products",2038,159274.67443229,"Low Emissions"
"Others",2038,22547.8314420123,"Low Emissions"
"Agriculture",2038,3300973.2476549,"Low Emissions"
"Wood and Paper",2038,59651.8818084508,"Low Emissions"
"Other Manufacturing",2038,113814.369683939,"Low Emissions"
"Education, Health and Other Services",2038,584922.956114056,"Low Emissions"
"Electrical and Machinery",2038,194749.761323997,"Low Emissions"
"Textiles and Wearing Apparel",2038,402256.173338579,"Low Emissions"
"Hotels and Restaurants",2038,369394.907521213,"Low Emissions"
"Fishing",2038,189948.713419871,"Low Emissions"
"Food & Beverages",2038,245854.555798375,"Low Emissions"
"Mining and Quarrying",2038,123902.450380926,"Low Emissions"
"Wholesale Trade",2038,517958.876765457,"Low Emissions"
"Re-export & Re-import",2039,11192.4429633265,"Low Emissions"
"Transport Equipment",2039,46370.9077357564,"Low Emissions"
"Electricity, Gas and Water",2039,119135.252362287,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2039,296309.594181147,"Low Emissions"
"Construction",2039,1301323.75369554,"Low Emissions"
"Post and Telecommunications",2039,232727.83182106,"Low Emissions"
"Public Administration",2039,548814.947716058,"Low Emissions"
"Private Households",2039,156694.222574282,"Low Emissions"
"Electrical and Machinery",2039,206548.257783776,"Low Emissions"
"Recycling",2039,11440.1587631587,"Low Emissions"
"Fishing",2039,190303.579502841,"Low Emissions"
"Retail Trade",2039,955035.333984391,"Low Emissions"
"Transport",2039,545317.401592481,"Low Emissions"
"Maintenance and Repair",2039,436934.98950914,"Low Emissions"
"Metal Products",2039,161836.345125263,"Low Emissions"
"Others",2039,22622.6185105955,"Low Emissions"
"Agriculture",2039,3307827.44551568,"Low Emissions"
"Wood and Paper",2039,60364.8545995683,"Low Emissions"
"Other Manufacturing",2039,114219.094194781,"Low Emissions"
"Education, Health and Other Services",2039,586942.709364985,"Low Emissions"
"Wholesale Trade",2039,521361.390680294,"Low Emissions"
"Food & Beverages",2039,246319.634852017,"Low Emissions"
"Financial Intermediation and Business Activities",2039,465814.180641116,"Low Emissions"
"Hotels and Restaurants",2039,370198.919365975,"Low Emissions"
"Mining and Quarrying",2039,124272.729252471,"Low Emissions"
"Textiles and Wearing Apparel",2039,403009.188176292,"Low Emissions"
"Post and Telecommunications",2040,233506.704684126,"Low Emissions"
"Re-export & Re-import",2040,11252.4803724483,"Low Emissions"
"Recycling",2040,11514.6776490934,"Low Emissions"
"Public Administration",2040,551724.837677385,"Low Emissions"
"Others",2040,22739.5988221502,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2040,297501.456433945,"Low Emissions"
"Construction",2040,1307623.44231,"Low Emissions"
"Wood and Paper",2040,60618.2272628358,"Low Emissions"
"Private Households",2040,157534.747964658,"Low Emissions"
"Electricity, Gas and Water",2040,119836.437657327,"Low Emissions"
"Textiles and Wearing Apparel",2040,405171.57162727,"Low Emissions"
"Financial Intermediation and Business Activities",2040,467937.15540018,"Low Emissions"
"Retail Trade",2040,960099.713409156,"Low Emissions"
"Food & Beverages",2040,247640.606884627,"Low Emissions"
"Wholesale Trade",2040,523826.618100809,"Low Emissions"
"Maintenance and Repair",2040,439270.961256865,"Low Emissions"
"Metal Products",2040,162348.403037496,"Low Emissions"
"Mining and Quarrying",2040,124941.767409968,"Low Emissions"
"Electrical and Machinery",2040,206036.232431706,"Low Emissions"
"Other Manufacturing",2040,114834.993937012,"Low Emissions"
"Hotels and Restaurants",2040,372169.649827332,"Low Emissions"
"Education, Health and Other Services",2040,590069.861053268,"Low Emissions"
"Transport Equipment",2040,46593.092109486,"Low Emissions"
"Agriculture",2040,3325450.95309403,"Low Emissions"
"Fishing",2040,191324.168725363,"Low Emissions"
"Transport",2040,547939.680912483,"Low Emissions"
"Construction",2041,1313674.96470643,"Low Emissions"
"Electricity, Gas and Water",2041,120498.502130952,"Low Emissions"
"Electrical and Machinery",2041,204407.935082123,"Low Emissions"
"Public Administration",2041,554807.192470018,"Low Emissions"
"Fishing",2041,192408.473084988,"Low Emissions"
"Food & Beverages",2041,249043.52213938,"Low Emissions"
"Agriculture",2041,3344104.12193177,"Low Emissions"
"Others",2041,22860.7904480946,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2041,298545.825150493,"Low Emissions"
"Education, Health and Other Services",2041,593322.317233091,"Low Emissions"
"Post and Telecommunications",2041,234166.1359685,"Low Emissions"
"Private Households",2041,158428.041145995,"Low Emissions"
"Financial Intermediation and Business Activities",2041,469944.728988081,"Low Emissions"
"Re-export & Re-import",2041,11316.28691058,"Low Emissions"
"Recycling",2041,11592.0569596267,"Low Emissions"
"Retail Trade",2041,965432.890122004,"Low Emissions"
"Hotels and Restaurants",2041,374252.750240195,"Low Emissions"
"Textiles and Wearing Apparel",2041,407468.876421835,"Low Emissions"
"Maintenance and Repair",2041,441747.931309756,"Low Emissions"
"Metal Products",2041,162672.363653757,"Low Emissions"
"Mining and Quarrying",2041,125640.639403341,"Low Emissions"
"Wholesale Trade",2041,526214.35298492,"Low Emissions"
"Other Manufacturing",2041,115470.254534966,"Low Emissions"
"Wood and Paper",2041,60830.4290789064,"Low Emissions"
"Transport",2041,550589.643922786,"Low Emissions"
"Transport Equipment",2041,46808.5695386284,"Low Emissions"
"Electricity, Gas and Water",2042,121442.297484763,"Low Emissions"
"Public Administration",2042,556979.426496307,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2042,300337.085837529,"Low Emissions"
"Education, Health and Other Services",2042,596020.84423078,"Low Emissions"
"Food & Beverages",2042,250014.993056439,"Low Emissions"
"Textiles and Wearing Apparel",2042,409055.969893501,"Low Emissions"
"Financial Intermediation and Business Activities",2042,472570.307160433,"Low Emissions"
"Fishing",2042,193157.28961175,"Low Emissions"
"Transport Equipment",2042,47060.3067602194,"Low Emissions"
"Wholesale Trade",2042,529016.197563442,"Low Emissions"
"Construction",2042,1321092.55782273,"Low Emissions"
"Wood and Paper",2042,61259.8214730924,"Low Emissions"
"Other Manufacturing",2042,115992.124814168,"Low Emissions"
"Electrical and Machinery",2042,208714.989419227,"Low Emissions"
"Private Households",2042,159043.533993885,"Low Emissions"
"Hotels and Restaurants",2042,375745.404848957,"Low Emissions"
"Re-export & Re-import",2042,11360.2505724078,"Low Emissions"
"Recycling",2042,11653.0796797911,"Low Emissions"
"Retail Trade",2042,969354.011049784,"Low Emissions"
"Others",2042,22959.9550869969,"Low Emissions"
"Transport",2042,553093.911327708,"Low Emissions"
"Maintenance and Repair",2042,443482.7795783,"Low Emissions"
"Agriculture",2042,3357306.6797953,"Low Emissions"
"Metal Products",2042,163968.644285049,"Low Emissions"
"Mining and Quarrying",2042,126186.990775073,"Low Emissions"
"Post and Telecommunications",2042,235430.91064767,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2043,302122.051953081,"Low Emissions"
"Public Administration",2043,559162.865571834,"Low Emissions"
"Others",2043,23059.5339060745,"Low Emissions"
"Electricity, Gas and Water",2043,122398.208279962,"Low Emissions"
"Re-export & Re-import",2043,11404.4597188542,"Low Emissions"
"Post and Telecommunications",2043,236690.797156825,"Low Emissions"
"Private Households",2043,159662.463600673,"Low Emissions"
"Hotels and Restaurants",2043,377245.979718694,"Low Emissions"
"Transport",2043,555605.132203188,"Low Emissions"
"Financial Intermediation and Business Activities",2043,475198.924705017,"Low Emissions"
"Textiles and Wearing Apparel",2043,410651.89219175,"Low Emissions"
"Wholesale Trade",2043,531822.663507333,"Low Emissions"
"Agriculture",2043,3370569.78109818,"Low Emissions"
"Construction",2043,1328527.21727468,"Low Emissions"
"Other Manufacturing",2043,116514.92251134,"Low Emissions"
"Education, Health and Other Services",2043,598746.64521349,"Low Emissions"
"Electrical and Machinery",2043,212999.063158507,"Low Emissions"
"Food & Beverages",2043,250991.810084976,"Low Emissions"
"Maintenance and Repair",2043,445227.048404489,"Low Emissions"
"Recycling",2043,11714.0960778734,"Low Emissions"
"Retail Trade",2043,973294.94922228,"Low Emissions"
"Mining and Quarrying",2043,126736.328055882,"Low Emissions"
"Wood and Paper",2043,61688.7867945439,"Low Emissions"
"Transport Equipment",2043,47312.5291875003,"Low Emissions"
"Metal Products",2043,165259.263576868,"Low Emissions"
"Fishing",2043,193910.260576109,"Low Emissions"
"Re-export & Re-import",2044,11417.6122990436,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2044,303377.836979942,"Low Emissions"
"Construction",2044,1333216.57030123,"Low Emissions"
"Electricity, Gas and Water",2044,123150.653570986,"Low Emissions"
"Private Households",2044,159846.601242675,"Low Emissions"
"Electrical and Machinery",2044,218193.038479265,"Low Emissions"
"Financial Intermediation and Business Activities",2044,476871.654737271,"Low Emissions"
"Public Administration",2044,559836.692405756,"Low Emissions"
"Textiles and Wearing Apparel",2044,411130.62325914,"Low Emissions"
"Hotels and Restaurants",2044,377734.856152437,"Low Emissions"
"Transport",2044,556788.610985892,"Low Emissions"
"Transport Equipment",2044,47464.0314812203,"Low Emissions"
"Others",2044,23100.5900083922,"Low Emissions"
"Agriculture",2044,3374744.43411938,"Low Emissions"
"Wood and Paper",2044,62026.5906435142,"Low Emissions"
"Other Manufacturing",2044,116743.882799873,"Low Emissions"
"Post and Telecommunications",2044,237528.992749259,"Low Emissions"
"Education, Health and Other Services",2044,599968.151227416,"Low Emissions"
"Food & Beverages",2044,251286.389706051,"Low Emissions"
"Recycling",2044,11744.5483039687,"Low Emissions"
"Retail Trade",2044,974651.993102913,"Low Emissions"
"Mining and Quarrying",2044,126957.813867256,"Low Emissions"
"Maintenance and Repair",2044,445766.552998205,"Low Emissions"
"Wholesale Trade",2044,533496.717425534,"Low Emissions"
"Fishing",2044,194135.636651044,"Low Emissions"
"Metal Products",2044,166393.936339065,"Low Emissions"
"Electricity, Gas and Water",2045,124234.981989877,"Low Emissions"
"Hotels and Restaurants",2045,377566.195846383,"Low Emissions"
"Others",2045,23117.7385649355,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2045,305520.754763244,"Low Emissions"
"Construction",2045,1339575.92065396,"Low Emissions"
"Private Households",2045,159720.148064886,"Low Emissions"
"Electrical and Machinery",2045,230273.423302617,"Low Emissions"
"Re-export & Re-import",2045,11408.5798268222,"Low Emissions"
"Public Administration",2045,559495.553980496,"Low Emissions"
"Textiles and Wearing Apparel",2045,410815.465950799,"Low Emissions"
"Retail Trade",2045,974441.348511737,"Low Emissions"
"Transport",2045,557842.605846638,"Low Emissions"
"Post and Telecommunications",2045,239086.638602667,"Low Emissions"
"Transport Equipment",2045,47660.7612424124,"Low Emissions"
"Wholesale Trade",2045,535687.13084225,"Low Emissions"
"Agriculture",2045,3372839.18726034,"Low Emissions"
"Wood and Paper",2045,62620.1579889625,"Low Emissions"
"Other Manufacturing",2045,116850.666974298,"Low Emissions"
"Education, Health and Other Services",2045,600587.015820316,"Low Emissions"
"Fishing",2045,193986.002430476,"Low Emissions"
"Food & Beverages",2045,251098.788796559,"Low Emissions"
"Financial Intermediation and Business Activities",2045,479292.53708679,"Low Emissions"
"Recycling",2045,11756.7622176802,"Low Emissions"
"Metal Products",2045,168667.955036184,"Low Emissions"
"Mining and Quarrying",2045,127011.136064997,"Low Emissions"
"Maintenance and Repair",2045,445477.630216336,"Low Emissions"
"Transport",2046,558900.725773247,"Low Emissions"
"Public Administration",2046,559343.930003828,"Low Emissions"
"Electricity, Gas and Water",2046,125260.531742367,"Low Emissions"
"Agriculture",2046,3372061.98594062,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2046,307459.933382735,"Low Emissions"
"Construction",2046,1345540.90692563,"Low Emissions"
"Post and Telecommunications",2046,240478.288959494,"Low Emissions"
"Education, Health and Other Services",2046,601329.752091974,"Low Emissions"
"Re-export & Re-import",2046,11403.7386411329,"Low Emissions"
"Financial Intermediation and Business Activities",2046,481538.71688979,"Low Emissions"
"Recycling",2046,11772.0090797311,"Low Emissions"
"Textiles and Wearing Apparel",2046,410650.205357289,"Low Emissions"
"Hotels and Restaurants",2046,377520.415872625,"Low Emissions"
"Food & Beverages",2046,251002.12814903,"Low Emissions"
"Transport Equipment",2046,47846.2874564769,"Low Emissions"
"Others",2046,23139.0012044657,"Low Emissions"
"Wholesale Trade",2046,537749.212799262,"Low Emissions"
"Mining and Quarrying",2046,127095.336628041,"Low Emissions"
"Wood and Paper",2046,63157.8585435025,"Low Emissions"
"Other Manufacturing",2046,116978.151797468,"Low Emissions"
"Fishing",2046,193907.166058839,"Low Emissions"
"Private Households",2046,159652.372879342,"Low Emissions"
"Electrical and Machinery",2046,240912.476392983,"Low Emissions"
"Maintenance and Repair",2046,445344.469882975,"Low Emissions"
"Metal Products",2046,170695.231436336,"Low Emissions"
"Retail Trade",2046,974520.641008775,"Low Emissions"
"Textiles and Wearing Apparel",2047,411384.369918543,"Low Emissions"
"Re-export & Re-import",2047,11424.0336901315,"Low Emissions"
"Post and Telecommunications",2047,241016.887970003,"Low Emissions"
"Transport Equipment",2047,47977.8915311599,"Low Emissions"
"Others",2047,23186.946233964,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2047,308350.390796425,"Low Emissions"
"Construction",2047,1349538.37152075,"Low Emissions"
"Other Manufacturing",2047,117241.522631912,"Low Emissions"
"Education, Health and Other Services",2047,602783.160440154,"Low Emissions"
"Public Administration",2047,560339.222793517,"Low Emissions"
"Electricity, Gas and Water",2047,125927.517413066,"Low Emissions"
"Financial Intermediation and Business Activities",2047,482902.423927151,"Low Emissions"
"Recycling",2047,11807.3447139568,"Low Emissions"
"Retail Trade",2047,976369.976911618,"Low Emissions"
"Hotels and Restaurants",2047,378218.39562312,"Low Emissions"
"Transport",2047,560082.679745232,"Low Emissions"
"Maintenance and Repair",2047,446149.1677513,"Low Emissions"
"Wholesale Trade",2047,539194.392225705,"Low Emissions"
"Agriculture",2047,3378142.56131281,"Low Emissions"
"Wood and Paper",2047,63397.9616778364,"Low Emissions"
"Private Households",2047,159936.505023286,"Low Emissions"
"Electrical and Machinery",2047,243607.150902031,"Low Emissions"
"Fishing",2047,194253.169546437,"Low Emissions"
"Food & Beverages",2047,251451.607047147,"Low Emissions"
"Metal Products",2047,171396.729696983,"Low Emissions"
"Mining and Quarrying",2047,127369.811749124,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2048,309257.3264748,"Low Emissions"
"Construction",2048,1353611.6758839,"Low Emissions"
"Re-export & Re-import",2048,11444.4379472877,"Low Emissions"
"Financial Intermediation and Business Activities",2048,484293.123950178,"Low Emissions"
"Hotels and Restaurants",2048,378921.193994292,"Low Emissions"
"Transport",2048,561281.239037153,"Low Emissions"
"Others",2048,23235.4109880565,"Low Emissions"
"Agriculture",2048,3384250.39690961,"Low Emissions"
"Wood and Paper",2048,63643.7569793399,"Low Emissions"
"Post and Telecommunications",2048,241566.925147961,"Low Emissions"
"Public Administration",2048,561340.049684539,"Low Emissions"
"Electricity, Gas and Water",2048,126618.310215452,"Low Emissions"
"Electrical and Machinery",2048,246407.331012414,"Low Emissions"
"Recycling",2048,11842.6330643668,"Low Emissions"
"Textiles and Wearing Apparel",2048,412122.548053928,"Low Emissions"
"Retail Trade",2048,978233.287075271,"Low Emissions"
"Food & Beverages",2048,251903.538666273,"Low Emissions"
"Transport Equipment",2048,48111.8877380742,"Low Emissions"
"Metal Products",2048,172117.782310442,"Low Emissions"
"Wholesale Trade",2048,540665.834941341,"Low Emissions"
"Mining and Quarrying",2048,127647.213066037,"Low Emissions"
"Other Manufacturing",2048,117507.656762265,"Low Emissions"
"Education, Health and Other Services",2048,604269.788167244,"Low Emissions"
"Private Households",2048,160222.166056119,"Low Emissions"
"Maintenance and Repair",2048,446958.643192191,"Low Emissions"
"Fishing",2048,194601.055538604,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2049,310500.918210261,"Low Emissions"
"Public Administration",2049,561910.983824153,"Low Emissions"
"Recycling",2049,11869.7663859471,"Low Emissions"
"Textiles and Wearing Apparel",2049,412525.924931958,"Low Emissions"
"Re-export & Re-import",2049,11455.4892825203,"Low Emissions"
"Transport",2049,562406.082128899,"Low Emissions"
"Transport Equipment",2049,48262.4360594109,"Low Emissions"
"Others",2049,23273.4051456251,"Low Emissions"
"Agriculture",2049,3387752.54182211,"Low Emissions"
"Construction",2049,1358315.70199736,"Low Emissions"
"Post and Telecommunications",2049,242393.915087117,"Low Emissions"
"Education, Health and Other Services",2049,605505.396016026,"Low Emissions"
"Private Households",2049,160376.886104107,"Low Emissions"
"Electricity, Gas and Water",2049,127447.001121958,"Low Emissions"
"Financial Intermediation and Business Activities",2049,485965.695971247,"Low Emissions"
"Maintenance and Repair",2049,447418.14327898,"Low Emissions"
"Retail Trade",2049,979429.778436482,"Low Emissions"
"Hotels and Restaurants",2049,379345.426796117,"Low Emissions"
"Wood and Paper",2049,63990.1583861203,"Low Emissions"
"Other Manufacturing",2049,117720.865451282,"Low Emissions"
"Wholesale Trade",2049,542325.519662002,"Low Emissions"
"Mining and Quarrying",2049,127852.492642933,"Low Emissions"
"Electrical and Machinery",2049,251980.775892559,"Low Emissions"
"Fishing",2049,194790.779584972,"Low Emissions"
"Food & Beverages",2049,252151.939747599,"Low Emissions"
"Metal Products",2049,173291.790471031,"Low Emissions"
"Financial Intermediation and Business Activities",2050,487418.862623779,"Low Emissions"
"Construction",2050,1362544.12527409,"Low Emissions"
"Electricity, Gas and Water",2050,128199.793362221,"Low Emissions"
"Public Administration",2050,562775.695968841,"Low Emissions"
"Hotels and Restaurants",2050,379960.905497193,"Low Emissions"
"Food & Beverages",2050,252540.318806145,"Low Emissions"
"Textiles and Wearing Apparel",2050,413159.981794048,"Low Emissions"
"Education, Health and Other Services",2050,606943.64024512,"Low Emissions"
"Metal Products",2050,174132.381823866,"Low Emissions"
"Mining and Quarrying",2050,128107.465453534,"Low Emissions"
"Wholesale Trade",2050,543834.496426222,"Low Emissions"
"Others",2050,23318.3542163161,"Low Emissions"
"Petroleum, Chemical and Non-Metallic Mineral Products",2050,311473.06670807,"Low Emissions"
"Post and Telecommunications",2050,243002.309268541,"Low Emissions"
"Electrical and Machinery",2050,255559.326781287,"Low Emissions"
"Private Households",2050,160621.848534618,"Low Emissions"
"Re-export & Re-import",2050,11472.986502705,"Low Emissions"
"Fishing",2050,195089.444234792,"Low Emissions"
"Recycling",2050,11901.9179336157,"Low Emissions"
"Retail Trade",2050,981082.090539877,"Low Emissions"
"Maintenance and Repair",2050,448118.324548838,"Low Emissions"
"Transport",2050,563566.017013855,"Low Emissions"
"Transport Equipment",2050,48399.9343705456,"Low Emissions"
"Agriculture",2050,3392986.23131596,"Low Emissions"
"Other Manufacturing",2050,117970.009851246,"Low Emissions"
"Wood and Paper",2050,64262.0709046736,"Low Emissions"
"Agriculture",2023,2999930.57825874,"Low Emissions-Expansionary"
"Agriculture",2024,3033029.89928571,"Low Emissions-Expansionary"
"Agriculture",2025,3060287.20537121,"Low Emissions-Expansionary"
"Agriculture",2026,3086326.50968122,"Low Emissions-Expansionary"
"Agriculture",2027,3111612.14269065,"Low Emissions-Expansionary"
"Agriculture",2028,3137149.22109555,"Low Emissions-Expansionary"
"Agriculture",2029,3162420.61830387,"Low Emissions-Expansionary"
"Agriculture",2030,3187780.71116106,"Low Emissions-Expansionary"
"Agriculture",2031,3213164.01971306,"Low Emissions-Expansionary"
"Agriculture",2032,3238523.5177301,"Low Emissions-Expansionary"
"Agriculture",2033,3263918.73078074,"Low Emissions-Expansionary"
